"Date","Discharge.cfs","Site","Discharge.m3s","Discharge.ls","Date2"
2016-04-11,167,"SMD",4.72890892461213,4728.90892461213,"20160411"
2016-04-12,153,"SMD",4.33247344590213,4332.47344590213,"20160412"
2016-04-13,144,"SMD",4.07762206673142,4077.62206673142,"20160413"
2016-04-14,129,"SMD",3.65286976811356,3652.86976811356,"20160414"
2016-04-15,114,"SMD",3.22811746949571,3228.11746949571,"20160415"
2016-04-16,101,"SMD",2.85999881069356,2859.99881069356,"20160416"
2016-04-17,91.1,"SMD",2.57966229360578,2579.66229360578,"20160417"
2016-04-18,84.2,"SMD",2.38427623624157,2384.27623624157,"20160418"
2016-04-19,78.5,"SMD",2.22287036276678,2222.87036276678,"20160419"
2016-04-20,73.7,"SMD",2.08694962720907,2086.94962720907,"20160420"
2016-04-21,65.8,"SMD",1.86324674993699,1863.246749937,"20160421"
2016-04-22,58.9,"SMD",1.66786069257278,1667.86069257278,"20160422"
2016-04-23,59.6,"SMD",1.68768246650828,1687.68246650828,"20160423"
2016-04-24,57,"SMD",1.61405873474785,1614.05873474785,"20160424"
2016-04-25,52.3,"SMD",1.48096968118092,1480.96968118092,"20160425"
2016-04-26,51.6,"SMD",1.46114790724542,1461.14790724542,"20160426"
2016-04-27,57.6,"SMD",1.63104882669257,1631.04882669257,"20160427"
2016-04-28,53.6,"SMD",1.51778154706114,1517.78154706114,"20160428"
2016-04-29,48.9,"SMD",1.38469249349421,1384.69249349421,"20160429"
2016-04-30,44.6,"SMD",1.26293016789043,1262.93016789043,"20160430"
2016-05-01,40.7,"SMD",1.15249457024978,1152.49457024978,"20160501"
2016-05-02,42.4,"SMD",1.20063316409314,1200.63316409314,"20160502"
2016-05-03,55.9,"SMD",1.58291023284921,1582.91023284921,"20160503"
2016-05-04,67.2,"SMD",1.90289029780799,1902.890297808,"20160504"
2016-05-05,96,"SMD",2.71841471115428,2718.41471115428,"20160505"
2016-05-06,109,"SMD",3.08653336995642,3086.53336995642,"20160506"
2016-05-07,104,"SMD",2.94494927041713,2944.94927041713,"20160507"
2016-05-08,92.9,"SMD",2.63063256943992,2630.63256943992,"20160508"
2016-05-09,81.2,"SMD",2.29932577651799,2299.32577651799,"20160509"
2016-05-10,69.5,"SMD",1.96801898359607,1968.01898359607,"20160510"
2016-05-11,59.9,"SMD",1.69617751248064,1696.17751248064,"20160511"
2016-05-12,50.9,"SMD",1.44132613330992,1441.32613330992,"20160512"
2016-05-13,42.6,"SMD",1.20629652807471,1206.29652807471,"20160513"
2016-05-14,40.2,"SMD",1.13833616029585,1138.33616029585,"20160514"
2016-05-15,35,"SMD",0.991088696774997,991.088696774997,"20160515"
2016-05-16,28.8,"SMD",0.815524413346284,815.524413346284,"20160516"
2016-05-17,24.9,"SMD",0.705088815705641,705.088815705641,"20160517"
2016-05-18,21.3,"SMD",0.603148264037356,603.148264037356,"20160518"
2016-05-19,18.9,"SMD",0.535187896258498,535.187896258499,"20160519"
2016-05-20,16.8,"SMD",0.475722574451999,475.722574451999,"20160520"
2016-05-21,14.5,"SMD",0.410593888663927,410.593888663927,"20160521"
2016-05-22,12.6,"SMD",0.356791930838999,356.791930838999,"20160522"
2016-05-23,10.9,"SMD",0.308653336995642,308.653336995642,"20160523"
2016-05-24,10.7,"SMD",0.302989973014071,302.989973014071,"20160524"
2016-05-25,11.5,"SMD",0.325643428940356,325.643428940356,"20160525"
2016-05-26,9.67,"SMD",0.273823648508978,273.823648508978,"20160526"
2016-05-27,8.28,"SMD",0.234463268837056,234.463268837056,"20160527"
2016-05-28,7.39,"SMD",0.209261299119064,209.261299119064,"20160528"
2016-05-29,6.28,"SMD",0.177829629021342,177.829629021342,"20160529"
2016-05-30,8.03,"SMD",0.227384063860092,227.384063860092,"20160530"
2016-05-31,8.73,"SMD",0.247205837795592,247.205837795592,"20160531"
2016-06-01,6.76,"SMD",0.191421702577114,191.421702577114,"20160601"
2016-06-02,5.42,"SMD",0.153477163900585,153.477163900585,"20160602"
2016-06-03,4.88,"SMD",0.138186081150342,138.186081150342,"20160603"
2016-06-04,4.63,"SMD",0.131106876173378,131.106876173378,"20160604"
2016-06-05,6.27,"SMD",0.177546460822264,177.546460822264,"20160605"
2016-06-06,25.3,"SMD",0.716415543668784,716.415543668784,"20160606"
2016-06-07,22.1,"SMD",0.625801719963641,625.801719963641,"20160607"
2016-06-08,16.5,"SMD",0.467227528479642,467.227528479642,"20160608"
2016-06-09,13.6,"SMD",0.385108750746856,385.108750746856,"20160609"
2016-06-10,10.7,"SMD",0.302989973014071,302.989973014071,"20160610"
2016-06-11,8.8,"SMD",0.249188015189142,249.188015189142,"20160611"
2016-06-12,8.29,"SMD",0.234746437036135,234.746437036135,"20160612"
2016-06-13,7.22,"SMD",0.204447439734728,204.447439734728,"20160613"
2016-06-14,6.51,"SMD",0.18434249760015,184.342497600149,"20160614"
2016-06-15,6.8,"SMD",0.192554375373428,192.554375373428,"20160615"
2016-06-16,6.94,"SMD",0.196518730160528,196.518730160528,"20160616"
2016-06-17,6.5,"SMD",0.184059329401071,184.059329401071,"20160617"
2016-06-18,5.86,"SMD",0.165936564660042,165.936564660042,"20160618"
2016-06-19,5.17,"SMD",0.146397958923621,146.397958923621,"20160619"
