Sample,date,GPP,GPP.lower,GPP.upper,ER,ER.lower,ER.upper,K600,K600.lower,K600.upper
SMD_SIDE,7/13/18,18.08951019,13.96447981,22.00735501,-8.657559772,-15.26101853,-2.887869785,1.175831709,0.758828556,1.641085603
SMD_SIDE,7/14/18,5.817738043,2.221584361,9.279704605,-3.53610533,-9.32987905,2.595993765,1.179841859,0.726478939,1.707413722
SMD_SIDE,7/15/18,1.21810214,-2.003567929,4.799750254,-1.423049421,-7.151881563,4.232954947,0.954338726,0.578537163,1.423376224
SMD_SIDE,7/16/18,4.046160285,0.400939169,7.460369982,-3.179032922,-8.782959498,2.552619439,1.030804497,0.654479247,1.496978723
SMD_SIDE,7/17/18,-0.408893932,-2.99893411,2.098032349,3.065314112,-2.298082152,8.499529007,0.835920989,0.478577257,1.212378745
SMD_SIDE,7/18/18,0.92160892,-2.876042679,4.469527047,-2.070235199,-7.876328051,3.537286496,0.394914732,0.130658238,0.643161971
SMD_SIDE,7/19/18,-0.075608976,-3.228252454,3.453820878,-0.205507106,-5.980506282,5.853841016,0.489209044,0.193076134,0.765679793
SMD_SIDE,7/20/18,6.278749333,2.432884386,10.00443836,-6.034198322,-11.7236756,-0.44423034,0.568156211,0.245363729,0.836241623
SMD_SIDE,7/21/18,7.533224038,3.819431051,11.44666058,-5.316423138,-11.45316951,0.46665944,0.676822,0.341406049,0.965803713
SMD_SIDE,7/22/18,2.273847049,-0.923710672,5.530767736,-2.515509671,-8.434596506,2.922683557,0.732768639,0.380500418,1.051155598
SMD_SIDE,7/23/18,2.836606685,-0.93354361,6.466148883,-1.605309054,-7.291752006,4.111488795,0.63715287,0.309518905,0.901909484
SMD_SIDE,7/24/18,10.66102986,7.060441192,14.45420703,-9.752389883,-15.62378439,-3.520820351,0.665193701,0.330000715,0.953659857
